From	To	Species	Gene Name
AT1G03900	839378	Arabidopsis thaliana	non-intrinsic ABC protein 4(ABCI18)
AT1G03905	839376	Arabidopsis thaliana	P-loop containing nucleoside triphosphate hydrolases superfamily protein(ABCI19)
AT5G06530	830541	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG22)
AT3G25620	822149	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG21)
AT4G18050	827530	Arabidopsis thaliana	P-glycoprotein 9(ABCB9)
AT1G30410	839921	Arabidopsis thaliana	multidrug resistance-associated protein 13(ABCC12)
AT3G21250	821679	Arabidopsis thaliana	multidrug resistance-associated protein 6(ABCC8)
AT4G28620	828980	Arabidopsis thaliana	ABC transporter of the mitochondrion 2(ABCB24)
AT2G07771	815357	Arabidopsis thaliana	Cytochrome C assembly protein(ABCI5)
AT5G44316	834456	Arabidopsis thaliana	Stabilizer of iron transporter SufD superfamily protein(ABCI9)
AT3G47750	823929	Arabidopsis thaliana	ATP binding cassette subfamily A4(ABCA4)
AT3G55110	824677	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG18)
AT3G28360	822465	Arabidopsis thaliana	P-glycoprotein 16(ABCB16)
AT2G47800	819392	Arabidopsis thaliana	multidrug resistance-associated protein 4(ABCC4)
AT4G27420	828850	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG9)
AT3G60160	825186	Arabidopsis thaliana	multidrug resistance-associated protein 9(ABCC9)
AT4G25960	828702	Arabidopsis thaliana	P-glycoprotein 2(ABCB2)
AT3G13640	820568	Arabidopsis thaliana	RNAse l inhibitor protein 1(ABCE1)
AT1G30420	839922	Arabidopsis thaliana	multidrug resistance-associated protein 12(ABCC11)
AT3G21580	821712	Arabidopsis thaliana	cobalt ion transmembrane transporter(ABCI12)
AT3G13090	820497	Arabidopsis thaliana	multidrug resistance-associated protein 8(ABCC6)
AT3G55320	824698	Arabidopsis thaliana	P-glycoprotein 20(ABCB20)
AT4G25450	828650	Arabidopsis thaliana	non-intrinsic ABC protein 8(ABCB28)
AT1G02530	839282	Arabidopsis thaliana	P-glycoprotein 12(ABCB12)
AT4G33460	829483	Arabidopsis thaliana	ABC transporter family protein(ABCI10)
AT1G54350	841876	Arabidopsis thaliana	ABC transporter family protein(ABCD2)
AT5G64840	836607	Arabidopsis thaliana	general control non-repressible 5(ABCF5)
AT2G28070	817351	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG3)
AT3G47760	823930	Arabidopsis thaliana	ABC2 homolog 4(ABCA5)
AT5G09930	830854	Arabidopsis thaliana	ABC transporter family protein(ABCF2)
AT2G37300	818307	Arabidopsis thaliana	transmembrane protein(ABCI16)
AT5G13580	831202	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG6)
AT5G61690	836291	Arabidopsis thaliana	ABC2 homolog 15(ABCA11)
AT2G37280	818305	Arabidopsis thaliana	pleiotropic drug resistance 5(ABCG33)
AT3G13100	820498	Arabidopsis thaliana	multidrug resistance-associated protein 7(ABCC7)
AT3G13080	820496	Arabidopsis thaliana	multidrug resistance-associated protein 3(ABCC3)
AT3G28380	822467	Arabidopsis thaliana	P-glycoprotein 17(ABCB17)
AT5G52860	835363	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG8)
AT3G62700	825444	Arabidopsis thaliana	multidrug resistance-associated protein 10(ABCC14)
AT3G47770	823931	Arabidopsis thaliana	ABC2 homolog 5(ABCA6)
AT4G25750	828680	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG4)
AT2G34660	818031	Arabidopsis thaliana	multidrug resistance-associated protein 2(ABCC2)
AT5G19410	832061	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG23)
AT2G37360	818312	Arabidopsis thaliana	ABC-2 type transporter family protein(ABCG2)
AT4G15215	827186	Arabidopsis thaliana	pleiotropic drug resistance 13(ABCG41)
AT2G39480	818533	Arabidopsis thaliana	P-glycoprotein 6(ABCB6)
AT3G30842	822863	Arabidopsis thaliana	pleiotropic drug resistance 10(ABCG38)
AT2G37010	818275	Arabidopsis thaliana	non-intrinsic ABC protein 12(NAP12)
AT1G27940	839687	Arabidopsis thaliana	P-glycoprotein 13(ABCB13)
AT3G59140	825083	Arabidopsis thaliana	multidrug resistance-associated protein 14(ABCC10)
AT4G28630	828981	Arabidopsis thaliana	ABC transporter of the mitochondrion 1(ABCB23)
AT1G63270	842633	Arabidopsis thaliana	non-intrinsic ABC protein 10(ABCI1)
AT1G30400	839920	Arabidopsis thaliana	multidrug resistance-associated protein 1(ABCC1)
AT5G61700	836292	Arabidopsis thaliana	ABC2 homolog 16(ABCA12)
AT3G28415	822471	Arabidopsis thaliana	ABC transporter family protein(ABCB22)
AT3G28390	822468	Arabidopsis thaliana	P-glycoprotein 18(ABCB18)
